"value","footprint","count","Digi-key","For 10 boards","references"
"0.1uf",402,51,"490-1318-1-ND",510,"C64 C63 C76 C81 C2 C38 C12 C9 C14 C15 C50 C56 C55 C37 C33 C8 C6 C10 C11 C42 C36 C31 C28 C26 C49 C47 C13 C46 "
200,402,41,"P200JCT-ND",410,"R41 R40 R42 R35 R36 R53 R52 R54 R47 R48 R65 R64 R66 R59 R60 R77 R76 R78 R71 R72 R79 R80 "
"2.2uf",402,22,"445-6847-1-ND",220,"C37 C36 C35 C38 C42 C45 C44 C43 C46 C50 C53 C52 C51 C54 C58 C61 C60 C59 C62 C66 "
"1uf",402,21,"490-3890-1-ND",210,"C69 C66 C72 C85 C91 C40 C18 C7 C48 C32 C5 C3 C60 C39 C41 C61 C62 C73 "
130,402,20,"P130JCT-ND",200,"R36 R37 R42 R43 R44 R45 R46 R47 R48 R49 R104 R107 R105 R108 R106 R109 R103 R114 R132 R133 "
"50k",402,15,"P49.9KLCT-ND",150,"R8 R21 R22 R23 R18 R24 R19 R20 R25 R29 R30 R50 R51 R53 R55 "
"22k",402,14,"P22KJCT-ND",140,"R30 R21 R17 R26 R29 R23 R81 R82 "
"10k",402,10,"P10KJCT-ND",100,"R41 R26 R27 R28 R15 R17 R128 R115 R134 R135 "
33,402,9,"P33JCT-ND",90,"R16 R2 R1 R7 R52 R13 R14 R54 R56 "
"0.01uf",402,6,"490-1312-1-ND",60,"C35 C30 C27 C25 "
49.9,402,5,"P49.9LCT-ND",50,"R35 R34 R33 R32 R121 "
"24.9k",402,5,"P24.9KLCT-ND",50,"R120 R38 R50 R62 R74"
"15k",402,4,"P15KJCT-ND",40,"R37 R49 R61 R73 "
"5k",402,4,"P4.99KLCT-ND",40,"R74 R73 R76 R75 "
"7k",402,5,"P6.98KLCT-ND",50,"R39 R51 R63 R75 R129"
"7pf",402,5,"490-3107-1-ND",50,"C16 C23 C22 C21 C14"
"0.001uf",402,5,"490-4764-1-ND",50,"C26 C24 C23 C68 C67 "
"100pf",402,3,"445-6845-1-ND",30,"C75 C87 C51 "
"15pf",402,3,"490-1280-1-ND",30,"C54 C53 C52 "
"ferrite",402,3,"490-1006-1-ND",30,"L3 L4 L6"
402,402,2,"P402LCT-ND",20,"R126 R122 "
"33pf",402,2,"490-3220-1-ND",20,"C17 C11"
"4.7pF",402,2,"490-3100-1-ND",20,"C17 C28 "
"47pf",402,2,"490-1287-1-ND",20,"C74 C77 "
"80k",402,2,"P80.6KLCT-ND",20,"R117 R118 "
"90k",402,2,"P90.9KLCT-ND",20,"R5 R6 "
"1.27k",402,1,"P1.27KLCT-ND",10,"R119 "
"1.5pF",402,1,"478-5992-1-ND",10,"C29 "
"12.1k",402,1,"P12.1KLCT-ND",10,"R31 "
"13.3k",402,1,"P13.3KLCT-ND",10,"R131 "
"165k",402,1,"P165KLCT-ND",10,"R15 "
"180k",402,1,"P180KJCT-ND",10,"R3 "
"1pF",402,1,"490-3083-1-ND",10,"C31 "
"2.2nF",402,1,"490-1305-1-ND",10,"C32 "
"2.7nH",402,1,"PCD1851CT-ND",10,"L5 "
"200k",402,1,"P200KJCT-ND",10,"R13 "
"270k",402,1,"P270KJCT-ND",10,"R16 "
"2k",402,1,"P2.0KJCT-ND",10,"R124 "
"3.9nH",402,1,"732-1711-1-ND",10,"L4 "
"41.2k",402,1,"P41.2KLCT-ND",10,"R130 "
"47nf",402,2,"490-3270-1-ND",20,"C82 C25"
"59k",402,1,"P59.0KLCT-ND",10,"R116 "
"6.8nf",402,1,"445-4922-1-ND",10,"C88 "
"725k",402,1,"P732KLCT-ND",10,"R14 "
"8.2nH",402,1,"732-1719-1-ND",10,"L3 "
"810k",402,1,"P806KLCT-ND",10,"R4 "
"10uf",603,14,"587-2562-1-ND",140,"C65 C19 C20 C4 C43 C29 C45 C44 "
49.9,603,1,"541-49.9SCT-ND",10,"R127 "
"50k",603,1,"PNM0603-50KBCT-ND",10,"R123 "
"475-2558","D0603",17,"475-2558-1-ND",170,"D36 D34 D32 D30 D28 D26 D24 D22 D35 D33 D31 D29 D27 D25 D23 D1 "
"MAX6711Z","SC-70-4",2,"MAX6711ZEXS+TCT-ND",20,
"MIC5365-2.7","SC-70-5",4,"576-3319-1-ND",40,"U15 U22 U29 U36 "
"TC1016-3.0","SC-70-5",4,"TC1016-3.0VLTCT-ND",40,"U16 U23 U30 U37 "
"MIC5365-2.5","SC-70-5",2,"576-3185-1-ND",20,"U14 U27"
"BAS16","SOT-23",2,"568-7979-1-ND",20,"D19 D20 "
"TLV431ACD","SOT-23",1,"296-18912-1-ND",10,"U41 "
"ADCS7476","SOT-23-6",4,"ADCS7476AIMFCT-ND",40,"U19 U26 U33 U40 "
"FDC2512","SOT-23-6",1,"FDC2512CT-ND",10,"U38 "
"USBLC6","SOT-23-6",1,"497-5235-6-ND",10,"U11 "
,,,,0,
"** Hand-place SMD **",,,,0,
"0.01uf",805,1,"478-6356-1-ND",10,"C83 "
"47uf",1206,2,"445-6003-1-ND",20,"C90 C89 "
0.56,1206,1,"RL16R.56FCT-ND",10,"R125 "
"4.7uf",1210,5,"445-6042-1-ND",50,"C80 C86 C84 C78 C93 "
"2.2uh",1210,4,"587-2165-6-ND",40,"L1 L2 "
"4.7uh",1210,1,"587-1624-1-ND",10,"L5 "
"150uf",2917,3,"495-2225-1-ND",30,"C70 C71 C1 "
"ABM10XTAL-16","ABM10",1,"535-10923-1-ND",10,"U5 "
"ABM10XTAL-24","ABM10",1,"535-9622-1-ND",10,"U12 "
"ABM10XTAL-25","ABM10",1,"535-9095-1-ND",10,"U9 "
"ANTENNA","chip_ant",1,,10,"U12 "
"MBRS540T3","DO-214AC",1,"SS16FSCT-ND",10,"D21 "
"MURA120","DO-214AC",1,"MURA120T3GOSCT-ND",10,"D18 "
"SMAJ58A","DO-214AC",1,"SMAJ58ABCT-ND",10,"D17 "
"BF532-160","MBGA-160",1,"ADSP-BF532SBBCZ400-ND",10,"U6 "
"BF527","MBGA-208",1,"ADSP-BF527KBCZ-6A-ND",10,"U13 "
"AD5663","MSOP-10",1,"AD5663ARMZ-ND",10,"U28 "
"OMNETICS_36","omnetics_36_dual",4,,40,"U14 U21 U28 U35 "
"9X100","omnetics_9",12,,120,"U18 U20 U25 U27 U32 U34 U39 U41 U3 "
"TPS62410","QFN-10",2,"296-25488-1-ND",20,"U4 "
"NRF24L01","QFN-20",1,,10,"U8 "
"LAN8710A","QFN-32",1,"638-1083-ND",10,"U17 "
"RHA2132","QFN-56",4,,40,"U42 U43 U44 U45 "
"LM4808","SOIC-8",1,"LM4808M-ND",10,"U29 "
"SST25VF040B","SOIC-8",2,"SST25VF040B-80-4I-SAE-ND",20,"U15 "
"TPS23753","TSSOP-14",1,"296-23547-5-ND",10,"U37 "
"ADM3202","TSSOP-16",1,"ADM3202ARUZ-ND",10,"U3 "
"74LCX541","TSSOP-20",4,"74LCX541MTCXCT-ND",40,"U18 U23 U22 U33 "
"MT48LC16M16A2","VFBGA-54",1,"557-1220-1-ND",10,"U7 "
,,,,0,
,,,,0,
,,,,0,
"** Through-hole **",,,,0,
"POE13W","POE13W",1,"513-1105-1-ND",10,"U40 "
"POE-JACK","POE-JACK",1,"A99645-ND",10,"U36 "
"NRF24L01-BREAK","8x100mil",5,"609-3406-ND",50,"U24 U25 U26 U21 U35"
"ADSP_JTAG_CON","7x2x100",2,"A26576-ND",20,"U16 U34 "
"63uf","2x200mil",1,"493-1665-ND",10,"C92 "
"EN_VCC","2x100mil",4,"A26543-ND",40,"U8 "
"FOD817A","DIP-4",1,"FOD817A-ND",10,"U39 "
"RS232_CON","DB9",1,"A32115-ND",10,"U1 "
"GT12","GT12MABE",1,"CKN9048-ND",10,
"FCI_USB_B","FCI_USB_B",1,"609-1039-ND",10,"U6 "
"NHD-0216KZW","NHD-0216KZW",1,"NHD-0216KZW-AB5-ND",10,
,,,,,
,,,,4180,
