130,402,34,102,"P130JCT-ND"
"1k",402,15,45,"P1.0KJCT-ND"
"10k",402,10,30,"P10KJCT-ND"
"7k",402,4,12,"P6.98KLCT-ND"
"15k",402,4,12,"P15KJCT-ND"
"94k",402,3,9,"P93.1KLCT-ND"
"15pf",402,3,9,"490-1281-1-ND"
"700k",402,1,3,"P698KLCT-ND"
"200k",402,1,3,"P200KJCT-ND"
"115k",402,1,3,"P115KLCT-ND"
"22uh",603,15,45,"445-3609-1-ND"
"BATTERY","18650-holder",1,3,"BK-18650-PC2-ND"
"2SK1374G","S-MINI-3P",15,45,"2SK1374G0LCT-ND"
"MCP4017","SC-70-6",1,3,"MCP4017T-503E/LTCT-ND"
"LT1721","SOIC-16",1,3,"LT1721CGN#PBF-ND"
"BAT54","SOT-23",17,51,"568-1596-1-ND"
"LT1615","SOT-23-5",15,45,"LT1615ES5-1#TRMPBFCT-ND"
"D","SOT-323",15,45,"MMBZ5257BW-FDICT-ND"
