"value","footprint","Digikey-pn","count","Count 10","references"
"0.1uf",402,"490-1327-1-ND",2,20,"C156 C161 C162 C163 C84 C56 C94 C95 C90 C131 C134 C150 C136 C137 C109 C11 C8 C13 C14 C34 C35 C9 C7 C10 C12 C40 C33 C29 C26 C24 C49 C47 C157 C155 C54 C58 C66 C68 C69 C70 C71 C72 C89 C92 C91 C221 C222 C114 C123 C133 C135 C145 C149 C2 C36 C50 C52 C51 C224 C223 C225 C236 C226 C247 C246 C248 C253 C254 C255 "
"2.2uf",402,"445-4999-1-ND",5,50,"C152 C153 C164 C97 C93 C96 C103 C105 C98 C88 C120 C121 C116 C112 C108 C110 C117 C158 C154 C151 C159 C160 C87 C85 C86 C99 C249 C250 C251 C252 C256 "
200,402,"P200JCT-ND",1,10,"R90 R91 R92 R93 R89 R40 R39 R88 R205 "
"1nf",402,"311-1352-1-ND",4,40,"C241 C239 C231 C229 "
"DCP01DB","DIP-14-7","DCP010505DBP-ND",1,10,"Designed in Kicadocaml "
"BF532-160","MBGA-160","ADSP-BF532SBBCZ400-ND",1,10,"U30 U65 "
"AD7980","MSOP-10","AD7980ARMZRL7CT-ND",2,20,"U44 U45 "
"BAT54","SOT-23","BAT54S-FDICT-ND",3,30,"U102 U103 U104 "
"ADCS7476","SOT-23-6","ADCS7476AIMFCT-ND",2,20,"U79 U81 "
,,,,,
"SFE-MAGJACK","SFE-MAGJACK","PRT-08534",1,10,"U18 "
"NRF24L01","QFN-20",,2,20,"U32 U67 "
"ANTENNA","chip_ant",,2,20,"U72 U36 "
"NRF24L01-BREAK","8x100mil",,1,10,"U19 "
,,,,,
"OMNETICS_36","omnetics_36",,2,20,"U75 U38 "
"RHA2116","QFN-40",,4,40,"U76 U80 U93 U92 "
