"value","footprint","count"
"0.1uf",402,51
200,402,41
"2.2uf",402,22
"1uf",402,21
130,402,20
"50k",402,15
"22k",402,14
"10k",402,10
33,402,9
"0.01uf",402,6
49.9,402,5
"24.9k",402,5
"15k",402,4
"5k",402,4
"7k",402,5
"7pf",402,4
"0.001uf",402,5
"100pf",402,3
"15pf",402,3
"ferrite",402,3
402,402,2
"33pf",402,2
"4.7pF",402,2
"47pf",402,2
"80k",402,2
"90k",402,2
"1.27k",402,1
"1.5pF",402,1
"12.1k",402,1
"13.3k",402,1
"165k",402,1
"180k",402,1
"1pF",402,1
"2.2nF",402,1
"2.7nH",402,1
"200k",402,1
"270k",402,1
"2k",402,1
"3.9nH",402,1
"41.2k",402,1
"47nf",402,2
"59k",402,1
"6.8nf",402,1
"725k",402,1
"7pf",402,1
"8.2nH",402,1
"810k",402,1
"10uf",603,14
49.9,603,1
"50k",603,1
"475-2558","D0603",17
"MAX6711Z","SC-70-4",2
"MIC5365-2.7","SC-70-5",4
"TC1016-3.0","SC-70-5",4
"MIC5365-2.5","SC-70-5",2
"BAS16","SOT-23",2
"TLV431ACD","SOT-23",1
"ADCS7476","SOT-23-6",4
"FDC2512","SOT-23-6",1
"USBLC6","SOT-23-6",1
