"value","footprint","count","references",,
"0.1uf",402,69,"C156 C161 C162 C163 C84 C56 C94 C95 C90 C131 C134 C150 C136 C137 C109 C11 C8 C13 C14 C34 C35 C9 C7 C10 C12 C40 C33 C29 C26 C24 C49 C47 C157 C155 C54 C58 C66 C68 C69 C70 C71 C72 C89 C92 C91 C221 C222 C114 C123 C133 C135 C145 C149 C2 C36 C50 C52 C51 C224 C223 C225 C236 C226 C247 C246 C248 C253 C254 C255 ",,
"10k",402,45,"R76 R144 R145 R148 R149 R156 R157 R160 R161 R162 R163 R166 R167 R168 R169 R172 R173 R174 R175 R178 R179 R180 R181 R184 R185 R186 R187 R190 R191 R150 R151 R154 R155 R113 R41 R81 R69 R75 R107 R114 R26 R27 R28 R15 R17 ",,
50,402,37,"R61 R60 R59 R58 R123 R129 R131 R134 R132 R120 R96 R48 R121 R125 R127 R133 R135 R130 R128 R126 R124 R122 R43 R45 R47 R49 R51 R53 R55 R57 R56 R54 R52 R50 R46 R44 R42 ",,
"1uf",402,34,"C59 C165 C166 C179 C180 C186 C187 C193 C194 C200 C201 C207 C208 C214 C215 C172 C173 C17 C6 C45 C30 C5 C4 C48 C37 C39 C80 C146 C125 C38 C243 C238 C233 C228 ",,
"2.2uf",402,31,"C152 C153 C164 C97 C93 C96 C103 C105 C98 C88 C120 C121 C116 C112 C108 C110 C117 C158 C154 C151 C159 C160 C87 C85 C86 C99 C249 C250 C251 C252 C256 ",,
33,402,26,"R139 R143 R103 R104 R105 R2 R1 R7 R38 R13 R14 R73 R78 R71 R66 R67 R70 R111 R109 R101 R108 R16 R116 R192 R194 R193 ",,
"50k",402,15,"R8 R21 R22 R23 R18 R24 R19 R20 R25 R29 R30 R36 R37 R72 R68 ",,
"22k",402,13,"R74 R110 R106 R77 R80 R119 R115 R118 R112 R9 R10 R11 R12 ",,
"ferrite",402,10,"L22 L11 L20 L14 L12 L13 L3 L4 L21 L10 ",,
200,402,9,"R90 R91 R92 R93 R89 R40 R39 R88 R205 ",,
"0.01uf",402,8,"C142 C28 C25 C23 C77 C57 C122 C32 ",,
"180pf",402,8,"C168 C182 C189 C196 C203 C210 C217 C175 ",,
"3.3k",402,8,"R147 R159 R165 R171 R177 R183 R189 R153 ",,
"330k",402,8,"R146 R158 R164 R170 R176 R182 R188 R152 ",,
"4nf",402,8,"C171 C185 C192 C199 C206 C213 C220 C178 ",,
"5k",402,8,"R202 R200 R204 R203 R197 R195 R199 R198 ",,
"0.001uf",402,6,"C141 C139 C138 C76 C74 C73 ",,
"7pf",402,6,"C129 C15 C22 C21 C20 C64 ",,
49.9,402,4,"R35 R34 R33 R32 ",,
"15k",402,4,"R140 R82 R85 R136 ",,
"1nf",402,4,"C241 C239 C231 C229 ",,
"25.2k",402,4,"R137 R141 R86 R83 ",,
"33pf",402,4,"C83 C61 C124 C16 ",,
"4.7pF",402,4,"C132 C143 C67 C78 ",,
"7.5k",402,4,"R138 R142 R87 R84 ",,
"90k",402,4,"R64 R99 R5 R6 ",,
"1.5pF",402,2,"C79 C144 ",,
"100k",402,2,"R94 R95 ",,
"1pF",402,2,"C81 C147 ",,
"2.2nF",402,2,"C82 C148 ",,
"2.7nH",402,2,"L19 L9 ",,
"220k",402,2,"R62 R97 ",,
"22K",402,2,"R79 R117 ",,
"270k",402,2,"R65 R100 ",,
"3.9nH",402,2,"L8 L18 ",,
"33nF",402,2,"C75 C140 ",,
"8.2nH",402,2,"L7 L17 ",,
"825k",402,2,"R63 R98 ",,
"100pf",402,1,"C115 ",,
"12.1k",402,1,"R31 ",,
"180k",402,1,"R3 ",,
"810k",402,1,"R4 ",,
"10uf",603,36,"C53 C104 C102 C100 C101 C170 C184 C191 C198 C205 C212 C219 C177 C107 C119 C113 C106 C27 C43 C42 C62 C63 C55 C60 C65 C126 C127 C118 C128 C130 C18 C19 C3 C41 C237 C227 ",,
"LED",603,36,"D20 D19 D18 D17 D22 D24 D26 D30 D32 D33 D23 D16 D11 D7 D28 D34 D36 D35 D31 D29 D27 D25 D21 D2 D4 D6 D8 D10 D12 D14 D15 D13 D9 D5 D3 D1 ",,
"22uf",805,16,"C167 C169 C181 C183 C188 C190 C195 C197 C202 C204 C209 C211 C216 C218 C174 C176 ",,
"2.2uh",1210,6,"L5 L6 L15 L16 L1 L2 ",,
"200uf",2917,4,"C244 C245 C234 C235 ",,
"150uf",2917,2,"C111 C1 ",,
"TP","2.9mm_hole",8,"TP68 TP69 TP70 TP71 TP64 TP65 TP66 TP67 ",,
"VEE","2x100mil",3,"U2 U24 U54 ",,
"EN_VCC","2x100mil",2,"U62 U8 ",,
"EN_VDD","2x100mil",2,"U10 U63 ",,
"8X2X100","2x8x100mil",1,"U53 ",,
"TESTCON","7x100mil",3,"U71 U37 U21 ",,
"ADSP_JTAG_CON","7x2x100",3,"U31 U66 U15 ",,
"8X100","8x100mil",1,"10/7/2010 Tim Hanson"," Duke"," Durham NC "
"NRF24L01-BREAK","8x100mil",1,"U19 ",,
"8X100","8xWx100mil",1,"U47 ",,
"ABM10XTAL-16","ABM10",2,"U29 U64 ",,
"ABM10XTAL-24","ABM10",1,"U12 ",,
"ABM10XTAL-25","ABM10",1,"U9 ",,
"ANTENNA","chip_ant",2,"U72 U36 ",,
"RS232_CON","DB9",1,"U1 ",,
"DCP01DB","DIP-14-7",1,"Designed in Kicadocaml ",,
"FCI_USB_B","FCI_USB_B",1,"U6 ",,
"GT12MABE","GT12MABE",2,"U5 U57 ",,
"AD7689","LFCSP-20",1,"U56 ",,
"BF532-160","MBGA-160",2,"U30 U65 ",,
"BF527","MBGA-208",1,"U13 ",,
"AD5663","MSOP-10",2,"U99 U95 ",,
"AD7980","MSOP-10",2,"U44 U45 ",,
"OMNETICS_36","omnetics_36",2,"U75 U38 ",,
"TPS62410","QFN-10",3,"U26 U61 U4 ",,
"NRF24L01","QFN-20",2,"U32 U67 ",,
"LAN8710A","QFN-32",1,"U16 ",,
"RHA2116","QFN-40",4,"U76 U80 U93 U92 ",,
"MAX6711Z","SC-70-4",3,"U35 U70 U20 ",,
"TC1016-3.0","SC-70-5",4,"U78 U42 U49 U43 ",,
"MIC5365-2.5","SC-70-5",3,"U41 U98 U94 ",,
"MIC5365-2.7","SC-70-5",3,"U77 U59 U55 ",,
"74LVC1G","SC-70-5",1,"U60 ",,
"SFE-MAGJACK","SFE-MAGJACK",1,"U18 ",,
"AUDIO_JACK","SJ1-3533",2,"U101 U97 ",,
"IL715-3","SOIC-16",2,"U50 U52 ",,
"AT25DF041-MHF","SOIC-8",3,"U33 U69 U14 ",,
"LM4808","SOIC-8",2,"U100 U96 ",,
"BAT54","SOT-23",3,"U102 U103 U104 ",,
"ADR381","SOT-23",1,"U46 ",,
"LM828","SOT-23-5",1,"U58 ",,
"ADCS7476","SOT-23-6",2,"U79 U81 ",,
"USBLC6","SOT-23-6",1,"U11 ",,
"OPA4348","TSSOP-14",2,"U88 U83 ",,
"ADM3202","TSSOP-16",1,"U3 ",,
"74LCX541","TSSOP-20",8,"U25 U74 U73 U34 U68 U17 U23 U22 ",,
"MAX4208","uMAX-8",8,"U82 U85 U86 U87 U89 U90 U91 U84 ",,
"MT48LC16M16A2","VFBGA-54",1,"U7 ",,
