"value"	"footprint"	"count"
"0.1uf"	402	69
"0.1uf"	402	
"10k"	402	45
"10k"	402	
50	402	37
"10uf"	603	36
"10uf"	603	" "
"LED"	603	36
"LED"	603	
"1uf"	402	34
"2.2uf"	402	31
33	402	26
"50k"	402	15
"22k"	402	13
"ferrite"	402	10
200	402	9
"0.01uf"	402	8
"180pf"	402	8
"3.3k"	402	8
"330k"	402	8
"4nf"	402	8
"5k"	402	8
"1nf"	402	6
"7pf"	402	6
"TC1016-3.0"	"SC-70-5"	4
49.9	402	4
"15k"	402	4
"25.2k"	402	4
"33pf"	402	4
"4.7pF"	402	4
"7.5k"	402	4
"90k"	402	4
"BAT54"	"SOT-23"	3
"MIC5365-2.5"	"SC-70-5"	3
"MIC5365-2.7"	"SC-70-5"	3
"MAX6711Z"	"SC-70-4"	2
"MAX6711T"	"SC-70-4"	1
"ADCS7476"	"SOT-23-6"	2
"1.5pF"	402	2
"100k"	402	2
"1pF"	402	2
"2.2nF"	402	2
"2.7nH"	402	2
"220k"	402	2
"22K"	402	2
"270k"	402	2
"3.9nH"	402	2
"33nF"	402	2
"8.2nH"	402	2
"825k"	402	2
"USBLC6"	"SOT-23-6"	1
"LM828"	"SOT-23-5"	1
"ADR381"	"SOT-23"	1
"74LVC1G"	"SC-70-5"	1
"100pf"	402	1
"12.1k"	402	1
"180k"	402	1
"810k"	402	1
"BAT54"	"SOT-23"	51
"1k"	402	45
"22uh"	603	45
"Mosfet"	"S-MINI-3P"	45
"LT1615"	"SOT-23-5"	45
"Zener"	"SOT-323"	45
"7k"	402	12
"18pf"	402	10
"94k"	402	9
"115k"	402	3
"200k"	402	3
"700k"	402	3
"MCP4017"	"SC-70-6"	3
